0,21.25,exp,1st,a
27,48.5,exp,1st,a
51,60.5,exp,1st,a'
63,72.25,exp,1st,a'
72.25,78.25,exp,1st,b
78.25,84.5,exp,1st,b
84,96.75,exp,tr,b'
96,134,exp,tr,a''
134.5,156.25,exp,2nd,c
156.25,168.25,exp,2nd,d
168,189.25,exp,2nd,c
189.25,195.25,exp,coda,e
195.25,201.5,exp,coda,e
201,213.25,exp,coda,f
213,243.5,exp,coda,g
243,255.5,exp,coda,a'''
255.5,285.25,exp,1st,a
291,312.5,exp,1st,a
315,324.5,exp,1st,a'
327,336.25,exp,1st,a'
336.25,342.25,exp,1st,b
342.25,348.5,exp,1st,b
348,360.75,exp,tr,b'
360,398,exp,tr,a''
398.5,420.25,exp,2nd,c
420.25,432.25,exp,2nd,d
432,453.25,exp,2nd,c
453.25,459.25,exp,coda,e
459.25,465.5,exp,coda,e
465,477.25,exp,coda,f
477,507.5,exp,coda,g
507,519.5,exp,coda,a'''
519.5,561.5,dev,d1,a''''
564,573.5,dev,d1,a'
576,585.5,dev,d1,a'
588,609.5,dev,rtr,h
612,633.25,dev,rtr,h
633.25,369.25,dev,rtr,h'
639.25,645.5,dev,rtr,h'
645.5,672.75,dev,rtr,h''
672,693.25,rec,1st,a
699,720.5,rec,1st,a
723,732.5,rec,1st,a'
735,744.25,rec,1st,a'
744.25,750.25,rec,1st,b
750.25,756.5,rec,1st,b
756,771.5,rec,tr,b''
770.5,792.25,rec,2nd,c
792.25,810.25,rec,2nd,d
810,831.25,rec,2nd,c
831.25,837.25,rec,coda,e
837.25,843.5,rec,coda,e
843,867.25,rec,coda,f'
867,900.5,rec,coda,g
900,912.5,rec,coda,a'''
912.5,966.25,rec,coda,a'''''
972,999.25,rec,coda,a''''''
999.25,1005.25,rec,coda,b
1005.25,1011.5,rec,coda,b
1011,1021,rec,coda,b'''
