0.0,44.0,51.0,2.0,1.0,1.0,C
0.0,51.0,55.0,2.0,1.0,1.0,C
0.0,53.0,56.0,2.0,1.0,1.0,C
0.0,56.0,58.0,2.0,1.0,1.0,C
2.0,0.0,0.0,1.0,1.0,1.0,R
3.0,44.0,51.0,2.0,1.0,2.0,C
3.0,51.0,55.0,2.0,1.0,2.0,C
3.0,53.0,56.0,2.0,1.0,2.0,C
3.0,56.0,58.0,2.0,1.0,2.0,C
5.0,0.0,0.0,1.0,1.0,2.0,R
6.0,32.0,44.0,1.0,1.0,3.0,C
6.0,39.0,48.0,1.0,1.0,3.0,C
7.0,32.0,44.0,1.0,1.0,3.0,C
7.0,39.0,48.0,1.0,1.0,3.0,C
8.0,32.0,44.0,1.0,1.0,3.0,C
8.0,39.0,48.0,1.0,1.0,3.0,C
9.0,33.0,44.0,3.0,1.0,4.0,C
9.0,39.0,48.0,3.0,1.0,4.0,C
12.0,45.0,51.0,1.0,1.0,5.0,C
12.0,51.0,55.0,1.0,1.0,5.0,C
12.0,54.0,57.0,1.0,1.0,5.0,C
13.0,45.0,51.0,1.0,1.0,5.0,C
13.0,51.0,55.0,1.0,1.0,5.0,C
13.0,54.0,57.0,1.0,1.0,5.0,C
14.0,45.0,51.0,1.0,1.0,5.0,C
14.0,51.0,55.0,1.0,1.0,5.0,C
14.0,54.0,57.0,1.0,1.0,5.0,C
15.0,46.0,52.0,3.0,1.0,6.0,C
15.0,51.0,55.0,3.0,1.0,6.0,C
15.0,55.0,57.0,3.0,1.0,6.0,C
18.0,34.0,45.0,1.0,1.0,7.0,C
18.0,46.0,52.0,1.0,1.0,7.0,C
19.0,34.0,45.0,1.0,1.0,7.0,C
19.0,46.0,52.0,1.0,1.0,7.0,C
20.0,34.0,45.0,1.0,1.0,7.0,C
20.0,46.0,52.0,1.0,1.0,7.0,C
21.0,39.0,48.0,1.0,1.0,8.0,C
21.0,51.0,55.0,1.0,1.0,8.0,C
22.0,0.0,0.0,2.0,1.0,8.0,R
24.0,0.0,0.0,2.0,1.0,9.0,R
26.0,0.0,0.0,1.0,1.0,9.0,R
27.0,68.0,65.0,2.0,1.0,10.0,C
27.0,72.0,67.0,2.0,1.0,10.0,C
27.0,75.0,69.0,2.0,1.0,10.0,C
29.0,0.0,0.0,1.0,1.0,10.0,R
30.0,56.0,58.0,2.0,1.0,11.0,C
30.0,60.0,60.0,2.0,1.0,11.0,C
30.0,63.0,62.0,2.0,1.0,11.0,C
32.0,0.0,0.0,1.0,1.0,11.0,R
33.0,32.0,44.0,1.0,1.0,12.0,C
33.0,44.0,51.0,1.0,1.0,12.0,C
34.0,32.0,44.0,1.0,1.0,12.0,C
34.0,44.0,51.0,1.0,1.0,12.0,C
35.0,32.0,44.0,1.0,1.0,12.0,C
35.0,44.0,51.0,1.0,1.0,12.0,C
36.0,33.0,44.0,3.0,1.0,13.0,C
36.0,45.0,51.0,3.0,1.0,13.0,C
39.0,69.0,65.0,1.0,1.0,14.0,N
40.0,69.0,65.0,1.0,1.0,14.0,N
41.0,69.0,65.0,1.0,1.0,14.0,N
42.0,70.0,66.0,3.0,1.0,15.0,N
45.0,34.0,45.0,1.0,1.0,16.0,C
