-0.125,7,intro,i1,a
7.875,15,intro,i1,a
15.875,40.5,intro,i1,a'
40.5,48.5,intro,i2,b
48.5,73,intro,i2,b'
75.5,79.5,exp,1st,c
79.5,91.25,exp,1st,c'
91.25,112.5,exp,1st,d
112,123.5,exp,1st,c'
123.5,138.25,exp,1st,c''
138,152.25,exp,tr,c'''
152,170.25,exp,tr,c'''
170,188.25,exp,tr,c'''
188,197,exp,tr,e
197,206,exp,2nd,f
206,218,exp,2nd,f'
219.5,228.25,exp,coda,g
228,242.25,exp,coda,c''''
242,274,exp,coda,c''''
275.5,283.5,exp,1st,c
283.5,295.25,exp,1st,c'
295.25,316.5,exp,1st,d
316,327.5,exp,1st,c'
327.5,342.25,exp,1st,c''
342,356.25,exp,tr,c'''
356,374.25,exp,tr,c'''
374,392.25,exp,tr,c'''
392,401,exp,tr,e
401,410,exp,2nd,f
410,422,exp,2nd,f'
423.5,432.25,exp,coda,g
432,446.25,exp,coda,c''''
446,478,exp,coda,c''''
481,486,dev,d1,c
489.5,506,dev,d1,c''''
504,512.25,dev,d1,c'''''
512,520.25,dev,d1,c'''''
520,528.25,dev,d1,c'''''
528,544.25,dev,d1,h
544,569,dev,rtr,c''''''
568,583.5,rec,1st,c'
583.5,600.25,rec,1st,i
600,618.25,rec,tr,c'''
618,632.25,rec,tr,c'''
632,656.25,rec,tr,c'''
656,665,rec,tr,e
665,674,rec,2nd,f
674,686,rec,2nd,f'
687.75,696.25,rec,2nd,j
696,708,rec,2nd,f
708,727.5,rec,2nd,f''
727.5,740.25,rec,coda,g
740,754.25,rec,coda,c''''
754,786,rec,coda,c''''
785,800,rec,coda,k
800,810,rec,coda,l
810,818,rec,coda,l
818,836,rec,coda,l'
