-0.125,4,c,7/5,d7,0,vii-7/V
4,5,c,5,M,0,V
5,6,c,1,m,0,i
6,8,c,5,M,1,V6
8,12,f,7/5,d7,0,vii-7/V
12,13,f,7,d7,2,vii-43
13,14,f,1,m,1,i6
14,16,f,5,M,1,V6
16,17,b-,7/5,d7,0,vii-7/V
17,20,b-,1,m,2,i64
20,21,b-,4,m7,1,iv65
21,23,A-,5,D7,1,V65
23,24,A-,1,M,0,I
24,25,e-,7/5,d7,0,vii-7/V
25,27,e-,1,m,2,i64
27,28,e-,+4,a6,1,Gr+6
28,29,D-,7/6,d7,0,vii-7/vi
29,31,D-,1,M,0,I
31,33,A-,7/5,d7,0,vii-7/V
33,36,A-,1,M,2,I64
36,37,b-,7/5,d7,0,vii-7/V
37,38,b-,1,m,2,i64
38,38.5,c,7/4,d7,0,vii-7/iv
38.5,39.5,c,4,m,1,iv6
39.5,40,c,+4,a6,1,It+6
40,43,c,5,D7,0,V7
43,44,c,1,m,1,i6
44,45,c,7/5,d7,3,vii-42/V
45,46,c,5,D7,2,V43
46,47,c,1,m,0,i
47,48,c,7/5,d7,0,vii-7/V
48,51,c,5,D7,0,V7
51,52,c,1,m,1,i6
52,53,c,7/5,d7,3,vii-42/V
53,54,c,5,D7,2,V43
54,55,c,1,m,0,i
55,56,c,7/5,d7,0,vii-7/V
56,72,c,5,M,0,V
72,75.5,c,1,m,0,i
75.5,76,c,5,M,0,V
76,78,c,1,m,0,i
78,80,c,5,M,1,V6
80,82,c,1,m,0,i
82,84,c,5,M,1,V6
84,86,c,5,M,0,V
86,88,c,1,m,0,i
88,90,c,5,M,0,V
90,92,c,1,m,0,i
92,94,c,5,M,0,V
94,96,c,1,m,1,i6
96,98,c,2,d,1,ii-6
98,100,c,7/4,d,1,vii-6/iv
100,102,c,4,m,1,iv6
102,103,c,5,M,1,V6
103,104,c,1,m,0,i
104,106,c,7,d7,1,vii-65
106,108,c,5,D7,2,V43
108,112,c,5,D7,0,V7
112,114,c,1,m,0,i
114,119,c,5,D7,0,V7
119,120,c,1,m,0,i
120,123,c,5,D7,0,V7
123,124,c,1,m,0,i
124,126,c,5,D7,0,V7
126,128,c,1,m,0,i
128,130,c,1,m,1,i6
130,132,c,4,m,0,iv
132,133,c,4,m,1,iv6
133,135,c,7/5,d7,1,vii-65/V
135,136,c,7/5,d7,0,vii-7/V
136,137,c,1,m,2,i64
137,138,c,5,D7,0,V7
138,140,c,1,m,0,i
140,144,c,5,D7,0,V7
144,146,c,1,m,0,i
146,148,c,4,m,2,iv64
148,150,E-,7,h7,0,vii=7
150,152,E-,5,D7,1,V65
152,154,E-,1,M,0,I
154,156,E-,5,D7,0,V7
156,158,f,1,m,0,i
158,159,f,2,d,0,ii-
159,160,f,5,D7,1,V65
