-0.25,20.5,exp,1st,a
21.75,42.5,exp,1st,a
43.75,58.25,exp,1st,a'
58.25,89.75,exp,tr,b
89.75,126.25,exp,tr,a''
130,138.5,exp,2nd,c
138,144.25,exp,2nd,c'
146,154.5,exp,2nd,c
154,174.5,exp,2nd,c''
174,194.5,exp,2nd,c''
195.5,219,exp,coda,d
221.75,242.5,exp,1st,a
243.75,264.5,exp,1st,a
265.75,280.25,exp,1st,a'
280.25,311.75,exp,tr,b
311.75,348.25,exp,tr,a''
352,360.5,exp,2nd,c
360,366.25,exp,2nd,c'
368,376.5,exp,2nd,c
376,396.5,exp,2nd,c''
396,416.5,exp,2nd,c''
417.5,441,exp,coda,d
443.75,464.5,dev,d1,a'''
465.75,488.25,dev,d1,a'''
488.25,504.25,dev,rtr,b'
504.25,520.25,dev,rtr,b'
520.25,605,dev,rtr,b''
607.75,628.5,rec,1st,a
629.75,636.5,rec,1st,a'
637.75,652.5,rec,tr,a''''
656,664.5,rec,2nd,c
664,670.25,rec,2nd,c'
672,680.5,rec,2nd,c
680,688.5,rec,2nd,c'''
688,696.5,rec,2nd,c
696,702.25,rec,2nd,c'
704,712.5,rec,2nd,c
712,732.5,rec,2nd,c''
732,752.5,rec,2nd,c''
753.5,777,rec,coda,d
779.75,811.75,rec,coda,b
811.75,833.5,rec,coda,e
835.75,849.5,rec,coda,e
851.75,857.5,rec,coda,e'
859.75,865.5,rec,coda,e''
