0,16,exp,1st,a
16,33,exp,1st,b
32,41,exp,1st,b'
1,48.5,exp,1st,b'
48,64.5,exp,tr,a'
64,72.5,exp,tr,c
72,86,exp,tr,c'
86,102,exp,2nd,d
102,118,exp,2nd,d
118,134,exp,2nd,d
134,150,exp,2nd,d
151,167,exp,2nd,e
167,181,exp,2nd,e'
181,189,exp,2nd,f
189,197,exp,2nd,f
197,204,exp,2nd,g
204,212,exp,2nd,g
212,224.5,exp,2nd,g'
224,240.5,exp,coda,a''
240,256,exp,1st,a
256,273,exp,1st,b
272,281,exp,1st,b'
241,288.5,exp,1st,b'
288,304.5,exp,tr,a'
304,312.5,exp,tr,c
312,326,exp,tr,c'
326,342,exp,2nd,d
342,358,exp,2nd,d
358,374,exp,2nd,d
374,390,exp,2nd,d
391,407,exp,2nd,e
407,421,exp,2nd,e'
421,429,exp,2nd,f
429,437,exp,2nd,f
437,444,exp,2nd,g
444,452,exp,2nd,g
452,464.5,exp,2nd,g'
464,480.5,exp,coda,a''
480,496.25,dev,d1,a'''
496,504.25,dev,d1,h
507,512.25,dev,d1,h
514.5,520.25,dev,d1,h
523,536.25,dev,d1,h'
539,544.25,dev,d1,h
547,552.25,dev,d1,h
552,560.5,dev,d1,h''
560,568,dev,rtr,a''''
568,576,dev,rtr,a'''''
576,584,dev,rtr,a''''
584,592,dev,rtr,a'''''
592,600.25,dev,rtr,a''''''
600,616,rec,1st,a
616,633,rec,1st,b
632,641,rec,1st,b'
640,648.25,rec,1st,b'
648,656,rec,tr,a''''
656,664.5,rec,tr,a'''''
664,672.5,rec,tr,c
672,690,rec,tr,c''
690,706,rec,2nd,d
706,722,rec,2nd,d
722,738,rec,2nd,d
738,754,rec,2nd,d
755,771,rec,2nd,e
771,785,rec,2nd,e'
785,793,rec,2nd,f
793,801,rec,2nd,f
801,808,rec,2nd,g
808,816,rec,2nd,g
816,828.5,rec,2nd,g'
828,856.5,rec,coda,a''''''
856,886,rec,coda,a'''''''
