-0.5,1.5,A-,1,M,0,I
1.5,3,A-,5,D7,2,V43
3,4,A-,1,M,1,I6
4,4.5,A-,5,M,1,V6
4.5,5,A-,1,M,0,I
5,6,A-,5,M,0,V
6,7,A-,4,M,1,IV6
7,7.5,A-,1,M,2,I64
7.5,8,A-,5/5,D7,1,V65/V
8,8.5,A-,7,d,2,vii-64
8.5,9,A-,1,M,1,I6
9,9.5,A-,6,m,0,vi
9.5,10,A-,7,d7,0,vii-7
10,10.5,A-,1,M,0,I
10.5,11,A-,7/7,d7,3,vii-42/vii
11,12,A-,5,M,0,V
12,13.5,A-,1,M,0,I
13.5,15,A-,5,D7,2,V43
15,16,A-,1,M,1,I6
16,16.5,A-,5,M,1,V6
16.5,17,A-,1,M,0,I
17,18,A-,5,M,0,V
18,19,A-,4,M,1,IV6
19,19.5,A-,1,M,2,I64
19.5,20,A-,5/5,D7,1,V65/V
20,20.5,A-,7,d,2,vii-64
20.5,21.5,A-,1,M,1,I6
21.5,22,A-,1,M,2,I64
22,22.5,A-,5,D7,0,V7
22.5,24,A-,1,M,0,I
24,25.5,A-,5/2,D7,0,V7/ii
25.5,27,A-,2,m,0,ii
27,28.5,A-,5,D7,0,V7
28.5,30.5,A-,1,M,0,I
30.5,31,A-,7/3,d7,3,vii-42/iii
31,31.5,A-,7/6,d7,1,vii-65/vi
31.5,32,A-,6,m,1,vi6
32,32.5,A-,5/6,M,1,V6/vi
32.5,33,A-,6,m,0,vi
33,34,E-,1,M,2,I64
34,34.5,E-,7/6,d7,0,vii-7/vi
34.5,35,E-,6,m,0,vi
35,35.5,E-,4,M,0,IV
35.5,36,E-,5/5,M,1,V6/V
36,37,E-,1,M,2,I64
37,37.5,E-,5,D7,0,V7
37.5,38,E-,1,M,0,I
38,38.5,A-,7/5,d,1,vii-6/V
38.5,39,A-,5,D7,1,V65
39,40.5,A-,1,M,0,I
40.5,42,A-,5,D7,2,V43
42,43,A-,1,M,1,I6
43,43.5,A-,5,M,1,V6
43.5,44,A-,1,M,0,I
44,45,A-,5,M,0,V
45,46,A-,4,M,1,IV6
46,46.5,A-,1,M,2,I64
46.5,47,A-,7/5,d,0,vii-/V
47,47.5,A-,7,d,2,vii-64
47.5,48.5,A-,1,M,1,I6
48.5,49,A-,1,M,2,I64
49,49.5,A-,5,D7,0,V7
49.5,50.5,A-,1,M,0,I
50.5,52.5,A-,1,M,0,I
52.5,54,A-,5,D7,2,V43
54,55,A-,1,M,1,I6
55,55.5,A-,5,M,1,V6
55.5,56,A-,1,M,0,I
56,57,A-,5,M,0,V
57,58,A-,4,M,1,IV6
58,58.5,A-,1,M,2,I64
58.5,59,A-,5/5,D7,1,V65/V
59,59.5,A-,7,h7,2,vii=43
59.5,60,A-,1,M,1,I6
60,60.5,A-,4,M,1,IV6
60.5,61,A-,7,d7,0,vii-7
61,61.5,A-,1,M,0,I
61.5,62,A-,7/7,d7,3,vii-42/vii
62,63,A-,5,M,0,V
63,64.5,A-,1,M,0,I
64.5,66,A-,5,D7,2,V43
66,67,A-,1,M,1,I6
67,67.5,A-,5,M,1,V6
67.5,68,A-,1,M,0,I
68,69,A-,5,M,0,V
69,70,A-,4,M,1,IV6
70,70.5,A-,1,M,2,I64
70.5,71,A-,5/5,D7,1,V65/V
71,71.5,A-,7,h7,2,vii=43
71.5,72,A-,1,M,1,I6
72,73,A-,1,M,2,I64
73,73.5,A-,5,D7,0,V7
73.5,75,A-,1,M,0,I
75,76.5,A-,5/2,D7,0,V7/ii
76.5,78,A-,2,m,0,ii
78,79.5,A-,5,D7,0,V7
79.5,81.5,A-,1,M,0,I
81.5,82,A-,7/3,d7,3,vii-42/iii
82,82.5,A-,7/6,d7,1,vii-65/vi
82.5,83,A-,6,m,1,vi6
83,83.5,A-,5/6,M,1,V6/vi
83.5,84,A-,6,m,0,vi
84,85,E-,1,M,2,I64
85,85.5,E-,7/6,d7,0,vii-7/vi
85.5,86.5,E-,6,m,0,vi
86.5,87,E-,5/5,M,1,V6/V
87,88,E-,1,M,2,I64
88,88.5,E-,5,D7,0,V7
88.5,89,E-,1,M,0,I
89,89.5,A-,7/5,d,1,vii-6/V
89.5,90,A-,5,D7,1,V65
90,91.5,A-,1,M,0,I
91.5,93,A-,5,D7,2,V43
93,94,A-,1,M,1,I6
94,94.5,A-,5,M,1,V6
94.5,95,A-,1,M,0,I
95,96,A-,5,M,0,V
96,97,A-,4,M,1,IV6
97,97.5,A-,1,M,2,I64
97.5,98,A-,5/5,D7,1,V65/V
98,98.5,A-,7,h7,2,vii=43
98.5,99,A-,1,M,1,I6
99,100,A-,1,M,2,I64
100,100.5,A-,5,D7,0,V7
100.5,101.5,A-,1,M,0,I
101.5,103.5,A-,1,M,0,I
103.5,105,A-,5,D7,1,V65
105,106,A-,1,M,0,I
106,106.5,A-,5,D7,0,V7
106.5,107,A-,1,M,2,I64
107,108,A-,5,M,0,V
108,109,A-,4,M,0,IV
109,109.5,A-,1,M,2,I64
109.5,110,A-,7/5,d,0,vii-/V
110,110.5,A-,7,d,2,vii-64
110.5,111,A-,1,M,1,I6
111,111.5,A-,4,M,1,IV6
111.5,112,A-,5,D7,1,V65
112,112.5,A-,1,M,0,I
112.5,113,A-,7/7,d7,3,vii-42/vii
113,114,A-,5,M,0,V
114,115.5,A-,1,M,0,I
115.5,117,A-,5,D7,2,V43
117,118,A-,1,M,1,I6
118,118.5,A-,5,D7,1,V65
118.5,119,A-,1,M,0,I
119,120,A-,5,M,0,V
120,121,A-,4,M,1,IV6
121,121.5,A-,1,M,2,I64
121.5,122,A-,7/5,d,0,vii-/V
122,122.5,A-,7,d,2,vii-64
122.5,123,A-,1,M,1,I6
123,124,A-,1,M,2,I64
124,124.5,A-,5,D7,0,V7
124.5,126,A-,1,M,0,I
126,127.5,A-,5/2,D7,1,V65/ii
127.5,129,A-,2,m,0,ii
129,130.5,A-,5,D7,1,V65
130.5,132,A-,1,M,0,I
132,132.5,A-,1,M,1,I6
132.5,133,A-,7/2,d7,0,vii-7/ii
133,133.5,A-,7/6,d,2,vii-64
133.5,134,A-,6,m,1,vi6
134,134.5,A-,5/6,M,1,V6/vi
134.5,135,A-,6,m,0,vi
135,136,E-,1,M,2,I64
136,136.5,E-,7/6,d7,0,vii-7/vi
136.5,137.5,E-,6,m,0,vi
