0,14.5,exp,1st,a
16,30.5,exp,1st,a
32,45,exp,tr,b
48,56.333333333333336,exp,tr,b'
57,77,exp,tr,c
78.5,86.5,exp,2nd,d
86.5,94.5,exp,2nd,d
94.5,112.5,exp,2nd,e
112,118.5,exp,2nd,d
118.5,126.5,exp,2nd,d
126.5,140.33333333333334,exp,2nd,e'
140,148,exp,2nd,f
148,156,exp,2nd,f'
156,168.33333333333334,exp,2nd,f''
168,180,exp,2nd,f'''
180,192.33333333333334,exp,2nd,f''''
193,207,exp,coda,c'
208,222.5,exp,1st,a
224,238.5,exp,1st,a
240,253,exp,tr,b
256,264.3333333333333,exp,tr,b'
265,285,exp,tr,c
286.5,294.5,exp,2nd,d
294.5,302.5,exp,2nd,d
302.5,320.5,exp,2nd,e
320,326.5,exp,2nd,d
326.5,334.5,exp,2nd,d
334.5,348.33333333333337,exp,2nd,e'
348,356,exp,2nd,f
356,364,exp,2nd,f'
364,376.33333333333337,exp,2nd,f''
376,388,exp,2nd,f'''
388,400.33333333333337,exp,2nd,f''''
401,415,exp,coda,c'
416,428.3333333333333,dev,d1,a'
428,440.5,dev,d1,a''
441.5,456.5,dev,rtr,g
456,474,dev,rtr,h
472,486.5,rec,1st,a
488,504.3333333333333,rec,tr,a'''
504,512,rec,tr,f
512,520,rec,tr,f'
520,532.3333333333334,rec,tr,f''
533,553,rec,tr,c
554.5,562.5,rec,2nd,d
562.5,570.5,rec,2nd,d
570.5,588.5,rec,2nd,e
588,594.5,rec,2nd,d
594.5,602.5,rec,2nd,d
602.5,616.3333333333334,rec,2nd,e'
616,624,rec,2nd,f
624,632,rec,2nd,f'
632,644.3333333333334,rec,2nd,f''
644,656,rec,2nd,f'''
656,668.3333333333334,rec,2nd,f''''
669,693,rec,coda,c''
