0,5,G,1,M,0,I
5,6,G,1,M,1,I6
6,7,G,5,M,2,V64
7,8,G,1,M,0,I
8,9,G,5,M,1,V6
9,10,G,5,M,0,V
10,11,G,1,M,0,I
11,12,G,5/4,D7,3,V42/IV
12,13,G,6,m7,0,vi7
13,14,G,5,D7,1,V65
14,21,G,1,M,0,I
21,22,G,1,M,1,I6
22,23,G,5,M,2,V64
23,24,G,1,M,0,I
24,25,G,5,M,1,V6
25,26,G,5,M,0,V
26,27,G,1,M,0,I
27,28,G,5/4,D7,3,V42/IV
28,29,G,6,m7,0,vi7
29,30,G,5,D7,1,V65
30,32,G,1,M,0,I
32,36,G,2,m,1,ii6
36,40,G,1,M,1,I6
40,42,G,4,M,0,IV
42,44,G,5,M,0,V
44,48,G,1,M,0,I
48,52,G,2,m,1,ii6
52,56,G,5/5,D7,1,V65/V
56,60,G,5,D7,0,V7
60,64,G,1,M,2,I64
64,68,G,5,D7,0,V7
68,72,G,1,M,2,I64
72,73,G,5,M,0,V
73,74,G,1,M,2,I64
74,75,G,5,M,0,V
75,76,G,1,M,2,I64
76,80,G,5,M,0,V
80,81,D,1,M,1,I6
81,82,D,5,D7,3,V42
82,83,D,1,M,1,I6
83,84,D,5,M,1,V6
84,85,D,1,M,0,I
85,86,D,5,M,1,V6
86,88,D,5,M,0,V
88,89,D,5,D7,3,V42
89,90,D,1,M,1,I6
90,91,D,5,M,2,V64
91,92,D,1,M,0,I
92,93,D,5,D7,1,V65
93,96,D,1,M,0,I
96,98,D,2,m,1,ii6
98,100,D,1,M,1,I6
100,102,D,2,m,1,ii6
102,104,D,1,M,1,I6
104,106,D,2,m,1,ii6
106,108,D,5/5,D7,1,V65/V
108,112,D,5,M,0,V
112,113,D,1,M,1,I6
113,114,D,5,D7,3,V42
114,115,D,1,M,1,I6
115,116,D,5,M,1,V6
116,117,D,1,M,0,I
117,120,D,5,M,0,V
120,121,D,5,D7,3,V42
121,122,D,1,M,1,I6
122,123,D,5,M,2,V64
123,124,D,1,M,0,I
124,125,D,5,D7,1,V65
125,128,D,1,M,0,I
128,130,D,2,m,1,ii6
130,132,D,1,M,1,I6
132,134,D,2,m,1,ii6
134,136,D,1,M,1,I6
136,138,D,2,m,1,ii6
