0,1.5,A,5,M,0,V
1.5,3,A,5,D7,0,V7
3,4.5,A,1,M,2,I64
4.5,6,A,5,M,0,V
6,7.5,A,4,M,1,IV6
7.5,9,A,1,M,0,I
9,10.5,A,1,M,1,I6
10.5,11.5,A,1,M,2,I64
11.5,13.5,A,5,M,0,V
13.5,15,A,5,D7,0,V7
15,16,A,1,M,2,I64
16,16.5,A,7/6,d7,0,vii-7/vi
16.5,18,A,6,m,0,vii-7/vi
18,19.5,E,2,m,0,ii
19.5,22.5,E,1,M,0,I
22.5,24,E,1,M,1,I6
24,25.5,E,5/6,D7,0,V7/vi
25.5,27,E,4,M,0,IV
27,28.5,E,5/5,D7,1,V65/V
28.5,30,E,5,D7,0,V7
30,31.5,E,4,M,1,IV6
31.5,33,E,7,h7,0,vii=7
33,35.5,E,5,D7,2,V43
35.5,36,E,1,M,0,I
36,38.5,E,5,D7,2,V43
38.5,39,E,1,M,1,I6
39,40.5,E,2,m7,1,ii65
40.5,42,E,5,M,0,V
42,43.5,E,5,D7,1,V65
43.5,45,E,5,D7,0,V7
45,48,E,6,m,0,vi
48,49.5,E,7/5,h7,0,vii=7/V
49.5,51,E,5,D7,3,V42
51,52.5,E,7/2,d7,1,vii-65/ii
52.5,54,E,2,m,0,ii
54,59.5,E,1,M,2,I64
59.5,60,E,5,D7,3,V42
60,64.5,E,1,M,1,I6
64.5,65.5,E,1,M,2,I64
65.5,66,E,5,D7,3,V42
66,70.5,E,1,M,1,I6
70.5,71.5,E,1,M,2,I64
71.5,72,E,5,D7,0,V7
72,73.5,E,1,M,0,I
73.5,75,E,1,M,2,I64
75,76.5,E,1,M,1,I6
76.5,78,E,5,D7,2,V43
78,79.5,E,1,M,0,I
79.5,81,E,1,M,2,I64
81,82.5,E,1,M,1,I6
82.5,84,E,5,D7,2,V43
84,85,E,1,M,0,I
85,86.5,E,5,D7,0,V7
86.5,88,E,1,M,0,I
88,89.5,E,5,D7,0,V7
89.5,91,E,1,M,0,I
91,92.5,E,5,D7,0,V7
92.5,94,E,1,M,0,I
94,95.5,E,5,D7,0,V7
95.5,107.5,E,1,M,0,I
107.5,111,E,6,m7,1,vi65
111,120,f+,5,D7,0,V7
120,129,f+,1,m,0,i
129,135,D,5,D7,2,V43
135,138,D,1,M,0,I
138,141,b,5,M,1,V6
141,142.5,b,1,m,0,i
142.5,144,b,5,M,1,V6
144,145.5,c+,4,m,0,iv
145.5,147,c+,5,D7,1,V65
147,150,c+,5,D7,0,V7
150,153,c+,1,m,1,i6
153,156,c+,5,D7,1,V65
156,157.5,c+,1,m,0,i
157.5,159,E,4,M,1,IV6
159,160.5,E,5/3,M,0,V/iii
160.5,162,E,5,D7,1,V65
162,169.5,a,5,D7,0,V7
169.5,170.5,a,7,d7,2,vii-43
170.5,171,a,7/5,d7,0,vii-7/V
171,172.5,A,5,M,0,V
172.5,176.5,A,5,D7,0,V7
176.5,177,A,1,M,1,I6
177,178.5,A,5/5,D7,0,V7/V
178.5,180,A,1,M,1,I6
180,181.5,A,5/6,D7,0,V7/vi
181.5,183,A,4,M,0,IV
183,184.5,A,5/5,D7,1,V65/V
184.5,186,A,5,D7,0,V7
186,187.5,A,4,M,1,IV6
187.5,189,A,7,h7,0,vii=7
189,193.5,A,5,D7,2,V43
193.5,195,A,1,M,1,I6
195,196.5,A,2,m7,1,ii65
196.5,198,A,5,M,0,V
198,199.5,A,5,D7,1,V65
199.5,201,A,5,D7,0,V7
201,204,A,6,m,0,vi
204,205.5,A,7/5,h7,0,vii=7/V
205.5,207,A,7,d,2,vii-64
207,208.5,A,7/2,d7,1,vii-65/ii
208.5,210,A,2,m,0,ii
210,215.5,A,1,M,2,I64
215.5,216,A,5,D7,3,V42
216,220.5,A,1,M,1,I6
220.5,221.5,A,1,M,2,I64
221.5,222,A,5,D7,3,V42
222,226.5,A,1,M,1,I6
226.5,227.5,A,1,M,2,I64
227.5,228,A,5,D7,0,V7
228,229.5,A,1,M,0,I
229.5,231,A,1,M,2,I64
231,232.5,A,1,M,1,I6
232.5,234,A,5,D7,2,V43
234,235.5,A,1,M,0,I
235.5,237,A,1,M,2,I64
237,238.5,A,1,M,1,I6
238.5,240,A,5,D7,2,V43
240,241,A,1,M,0,I
241,242.5,A,5,D7,0,V7
242.5,244,A,1,M,0,I
244,245.5,A,5,D7,0,V7
245.5,247,A,1,M,0,I
247,248.5,A,5,D7,0,V7
248.5,250,A,1,M,0,I
250,251.5,A,5,D7,0,V7
251.5,253,A,1,M,0,I
253,254.5,A,7/4,d7,0,vii-7/IV
254.5,262.5,A,7,d7,0,vii-7
262.5,264,A,1,M,1,I6
264,265.5,A,7/5,d,1,vii-6/V
265.5,267,A,-6,M,0,bVI
267,271.5,A,1,M,2,I64
271.5,273,A,5,D7,0,V7
273,274.5,A,1,M,0,I
274.5,276,A,6,m,0,vi
276,277.5,A,7,d7,3,vii-42
277.5,279,A,7/5,d7,2,vii-43/V
279,280.5,A,5,D7,1,V65
280.5,282,A,1,M,0,I
282,283.5,A,4,M,0,IV
283.5,287.5,A,5,M,0,V
287.5,290.5,A,1,M,0,I
290.5,294,A,5,M,0,V
294,295.5,A,7/5,h7,0,vii=7/V
295.5,297,A,5,D7,0,V7
297,298.5,A,1,M,1,I6
298.5,300,A,5,D7,1,V65
300,301.5,A,1,M,0,I
301.5,304.5,A,5,D7,0,V7
304.5,306,A,1,M,0,I
