0,4,E-,1,M,0,I
4,8,E-,5,D7,0,V7
8,12,E-,1,M,0,I
12,14,E-,5,D7,0,V7
14,16,E-,1,M,0,I
16,20,E-,1,M,0,I
20,24,E-,5,D7,0,V7
24,28,E-,1,M,0,I
28,30,E-,5,D7,0,V7
30,32,E-,1,M,0,I
32,42.5,E-,5,D7,0,V7
42.5,43,E-,7/6,d7,0,vii-7/vi
43,43.5,E-,6,m,0,vi
43.5,44,E-,5/6,M,0,V/vi
44,44.5,E-,4,M7,0,IV7
44.5,45,E-,5/5,M,1,V6/V
45,46,E-,5,D7,0,V7
46,48,E-,1,M,0,I
48,58.5,E-,5,D7,0,V7
58.5,59,E-,7/6,d7,0,vii-7/vi
59,59.5,E-,6,m,0,vi
59.5,60,E-,5/6,M,0,V/vi
60,60.5,E-,4,M7,0,IV7
60.5,61,E-,5/5,M,1,V6/V
61,62,E-,5,D7,0,V7
62,64,E-,1,M,0,I
64,72,E-,1,M,0,I
72,76,E-,5,D7,2,V43
76,78,E-,5,D7,0,V7
78,80,E-,1,M,0,I
80,88,E-,1,M,0,I
88,92,E-,5,D7,2,V43
92,94,E-,5,D7,0,V7
94,96,E-,1,M,0,I
96,100,f,5,M,0,V
100,100.5,f,7/5,d,0,vii-/V
100.5,101,f,5,D7,3,V42
101,101.5,f,1,m,1,i6
101.5,102,f,5,D7,1,V65
102,106,f,1,m,0,i
106,108,E-,5,D7,0,V7
108,109,E-,1,M,2,I64
109,110,E-,5,D7,0,V7
110,112,E-,1,M,0,I
112,116,f,5,M,0,V
116,116.5,f,7/5,d,0,vii-/V
116.5,117,f,5,D7,3,V42
117,117.5,f,1,m,1,i6
117.5,118,f,5,M,1,V6
118,122,f,1,m,0,i
122,124,E-,5,D7,0,V7
124,125,E-,1,M,2,I64
125,126,E-,5,D7,0,V7
126,128,E-,1,M,0,I
128,132,E-,1,M,0,I
132,136,E-,5,D7,0,V7
136,140,E-,1,M,0,I
140,142,E-,5,D7,0,V7
142,144,E-,1,M,0,I
144,148,E-,1,M,0,I
148,152,E-,5,D7,0,V7
152,156,E-,1,M,0,I
156,158,E-,5,D7,0,V7
158,160,E-,1,M,0,I
160,170.5,E-,5,D7,0,V7
170.5,171,E-,7/6,d7,0,vii-7/vi
171,171.5,E-,6,m,0,vi
171.5,172,E-,5/6,M,0,V/vi
172,172.5,E-,4,M7,0,IV7
172.5,173,E-,5/5,M,1,V6/V
173,174,E-,5,D7,0,V7
174,176,E-,1,M,0,I
176,186.5,E-,5,D7,0,V7
186.5,187,E-,7/6,d7,0,vii-7/vi
187,187.5,E-,6,m,0,vi
187.5,188,E-,5/6,M,0,V/vi
188,188.5,E-,4,M7,0,IV7
188.5,189,E-,5/5,M,1,V6/V
189,190,E-,5,D7,0,V7
190,192,E-,1,M,0,I
192,196.5,C,1,M,0,I
196.5,198,C,5,D7,2,V43
198,201,C,5,M,0,V
201,202.5,C,5,D7,1,V65
202.5,204,C,1,M,0,I
204,205.5,C,1,M,0,I
205.5,207,C,6,m7,1,vi65
207,208.5,C,4,M,0,IV
208.5,210,G,7/4,h7,1,vii=65/IV
210,211.5,G,5/2,D7,1,V65/ii
211.5,213,G,2,m,0,ii
213,214.5,G,5,D7,0,V7
214.5,216,G,1,M,0,I
216,220.5,C,1,M,0,I
220.5,222,C,5,D7,2,V43
222,225,C,5,M,0,V
225,226.5,C,5,D7,1,V65
226.5,228,C,1,M,0,I
228,229.5,C,1,M,0,I
229.5,231,C,6,m7,1,vi65
231,232.5,C,4,M,0,IV
232.5,234,G,7/4,h7,1,vii=65/IV
234,235.5,G,5/2,D7,1,V65/ii
235.5,237,G,2,m,0,ii
237,238.5,G,5,D7,0,V7
238.5,240,G,1,M,0,I
240,243,C,5,M,0,V
243,252,C,5,D7,0,V7
252,253.5,C,1,M,1,I6
253.5,255,C,6,m7,1,vi65
255,256.5,C,4,M,0,IV
