-1,16,B-,1,M,0,I
16,18,B-,4,M,0,IV
18,20,B-,5,D7,3,V42
20,22,B-,1,M,0,I
22,24,B-,5/4,D7,0,V7/IV
24,26,B-,4,M,0,IV
26,28,B-,5,D7,2,V43
28,30,B-,1,M,0,I
30,32,B-,5,D7,0,V7
32,34,B-,1,M,0,I
34,36,B-,5,D7,0,V7
36,40,B-,1,M,0,I
40,44,B-,5,M,0,V
44,48,B-,1,M,0,I
48,52,c,2,d,1,ii-6
52,54,c,5,D7,0,V7
54,55,c,6,M,0,VI
55,56,g,5,M,1,V6
56,57,g,1,m,0,i
57,58,F,5,M,1,V6
58,59,F,1,M,0,I
59,60,C,5,D7,3,V42
60,62,C,1,M,0,I
62,64,C,5/4,D7,0,V7/IV
64,66,C,4,M,0,IV
66,68,C,5,D7,3,V42
68,70,C,1,M,0,I
70,72,C,5/4,D7,0,V7/IV
72,74,C,4,M,0,IV
74,76,C,5,D7,3,V42
76,77,C,1,M,0,I
77,78,C,5,D7,3,V42
78,79,C,1,M,0,I
79,80,C,5,D7,3,V42
80,84,C,1,M,0,I
84,99,F,1,M,0,I
99,100,F,5/4,D7,3,V42/IV
100,110,F,5/2,D7,2,V43/ii
110,111,F,-7,M,0,bVII
111,112,F,7,d7,0,vii-7
112,114,F,1,M,0,I
114,115,F,2,m,1,ii6
115,116,F,5,D7,0,V7
116,120,F,1,M,0,I
120,122,F,4,M,0,IV
122,124,F,2,m,0,ii
124,126,F,5,M,0,V
126,128,F,1,M,1,I6
128,130,F,6,m,0,vi
130,132,F,4,M,0,IV
132,138,F,7,d,0,vii-
138,139,F,5,M,1,V6
139,140,F,4,M,1,IV6
140,142,F,5/6,D7,0,V7/vi
142,143,F,4,M,0,IV
143,144,F,5/5,D7,1,V65/V
144,146,F,1,M,2,I64
146,148,F,5,M,0,V
148,152,F,1,M,0,I
152,154,F,4,M,0,IV
154,156,F,2,m,0,ii
156,158,F,5,M,0,V
158,160,F,1,M,1,I6
160,162,F,6,m,0,vi
162,164,F,4,M,0,IV
164,170,F,7,d,0,vii-
170,171,F,5,M,1,V6
171,172,F,4,M,1,IV6
172,176,F,5/6,D7,1,V65/vi
176,180,F,6,m,0,vi
180,184,F,7/5,d7,0,vii-7/V
184,186.5,F,7,d7,2,vii-43
186.5,188,F,5,D7,3,V42
188,189.5,F,1,M,1,I6
189.5,190,F,5,D7,1,V65
190,190.5,F,1,M,0,I
190.5,191,F,5,D7,3,V42
191,191.5,F,1,M,1,I6
191.5,192,F,5,D7,1,V65
192,192.5,F,1,M,0,I
192.5,193,F,5,D7,3,V42
193,193.5,F,1,M,1,I6
193.5,194,F,5,D7,1,V65
194,194.5,F,1,M,0,I
194.5,195,F,5,D7,3,V42
195,195.5,F,1,M,1,I6
195.5,196,F,5,D7,1,V65
196,198,F,1,M,0,I
198,200,F,4,M,1,IV6
200,202,F,2,m,1,ii6
202,204,F,5,D7,0,V7
204,204.5,F,1,M,0,I
204.5,205,F,5,D7,3,V42
205,205.5,F,1,M,1,I6
205.5,206,F,5,D7,1,V65
206,206.5,F,1,M,0,I
206.5,207,F,5,D7,3,V42
207,207.5,F,1,M,1,I6
207.5,208,F,5,D7,1,V65
208,208.5,F,1,M,0,I
208.5,209,F,5,D7,3,V42
209,209.5,F,1,M,1,I6
209.5,210,F,5,D7,1,V65
210,211,F,1,M,0,I
211,212,F,6,m,1,vi6
212,214,F,5/2,D7,0,V7/ii
214,218,F,2,m,0,ii
218,220,F,5,M,0,V
220,224,F,1,M,0,I
224,226,F,2,d,1,ii-6
226,228,F,5,D7,2,V43
228,232,F,1,M,0,I
232,234,F,2,d,1,ii-6
234,236,F,-2,M,1,N6
236,238,F,1,M,0,I
238,240,F,7,d7,2,vii-43
240,242,F,1,M,0,I
242,244,F,-2,M,1,N6
244,252,F,1,M,0,I
252,260,F,5,D7,3,V42
260,261,F,1,M,0,I
261,262,F,5,D7,0,V7
262,263,F,1,M,0,I
263,264,F,5,D7,0,V7
264,266,F,1,M,0,I
266,268,F,5,D7,0,V7
268,271,F,1,M,0,I
271,288,B-,1,M,0,I
288,290,B-,4,M,0,IV
290,292,B-,5,D7,3,V42
292,294,B-,1,M,0,I
294,296,B-,5/4,D7,0,V7/IV
296,298,B-,4,M,0,IV
298,300,B-,5,D7,2,V43
300,302,B-,1,M,0,I
302,304,B-,5,D7,0,V7
304,306,B-,1,M,0,I
306,308,B-,5,D7,0,V7
308,312,B-,1,M,0,I
312,316,B-,5,M,0,V
316,320,B-,1,M,0,I
320,324,c,2,d,1,ii-6
324,326,c,5,D7,0,V7
326,327,c,6,M,0,VI
327,328,g,5,M,1,V6
328,329,g,1,m,0,i
329,330,F,5,M,1,V6
330,331,F,1,M,0,I
331,332,C,5,D7,3,V42
332,334,C,1,M,0,I
334,336,C,5/4,D7,0,V7/IV
336,338,C,4,M,0,IV
338,340,C,5,D7,3,V42
340,342,C,1,M,0,I
342,344,C,5/4,D7,0,V7/IV
344,346,C,4,M,0,IV
346,348,C,5,D7,3,V42
348,349,C,1,M,0,I
349,350,C,5,D7,3,V42
350,351,C,1,M,0,I
351,352,C,5,D7,3,V42
352,356,C,1,M,0,I
356,371,F,1,M,0,I
371,372,F,5/4,D7,3,V42/IV
