-1,3,e,1,m,0,i
3,6,e,5/3,M,0,V/III
6,9,G,5,D7,3,V42
9,15,G,1,M,0,I
15,18,G,5/3,M,0,V/iii
18,21,b,5,D7,3,V42
21,24,b,1,m,0,i
24,27,G,1,M,1,I6
27,30,G,2,m,0,ii
30,33,G,5,D7,0,V7
33,36,G,1,M,0,I
36,39,e,1,m,0,i
39,45,e,6,M,0,VI
45,48,e,5,M,0,V
48,51,e,1,m,1,i6
51,53,e,2,h7,1,ii=65
53,54,e,5/5,D7,1,V65/V
54,57,e,5,D7,0,V7
57,60,e,6,M,0,VI
60,62,e,1,m,1,i6
62,63,e,5/4,M,1,V6/iv
63,65,e,2,h7,1,ii=65
65,66,e,5/5,D7,1,V65/V
66,69,e,5,D7,0,V7
69,83,e,1,m,0,i
83,92,C,5,D7,0,V7
92,93,C,5,D7,1,V65
93,95,C,1,M,0,I
95,104,a,5,D7,0,V7
104,105,a,5,D7,1,V65
105,107,a,1,m,0,i
107,117,B-,1,M,0,I
117,119,B-,7/5,d,0,vii-/V
119,131,b,7,d7,0,vii-7
131,132,b,5,D7,1,V65
132,135,b,1,m,0,i
135,138,b,1,m,1,i6
138,139,b,5/4,D7,1,V65/iv
139,142,b,-2,M,1,N6
142,144,b,7/4,d,1,vii-6/iv
144,145,b,7/4,d7,1,vii-65/iv
145,147,b,4,m,1,iv6
147,148,b,5/-7,D7,1,V65/bVII
148,150,b,5/5,D7,2,V43/V
150,156,b,5/5,D7,0,V7/V
156,162,b,5,D7,0,V7
162,174,b,1,m,0,i
174,177,b,4,m7,0,iv7
177,179,b,1,m,2,i64
179,180,b,5,D7,0,V7
180,192,b,1,m,0,i
192,195,b,4,m7,0,iv7
195,197,b,1,m,2,i64
197,198,b,5,D7,0,V7
198,201,b,1,m,0,i
201,204,b,4,m,0,iv
204,207,b,-2,M,1,N6
207,210,b,5,D7,0,V7
210,213,b,1,m,0,i
213,216,b,4,m,0,iv
216,219,b,-2,M,1,N6
219,225,b,5,D7,0,V7
225,231,b,1,m,0,i
231,234,b,5,D7,0,V7
234,251,b,1,m,0,i
251,255,e,5,D7,2,V43
255,258,e,1,m,0,i
